a;x0(0);x0(1);x(0);x(1);r;y;calls
4,4934; 1,44606;1,03336;4,15223;1,71745;4,4934;-0,217234;162;
4,4934; 2,35124;1,40148;4,2148;1,55759;4,4934;-0,217234;225;
4,4934; 4,07725;2,59293;2,98224;3,36109;4,4934;-0,217234;230;
4,4934; 2,97522;4,58825;3,20018;3,15429;4,4934;-0,217234;152;
4,4934; 3,20824;1,4233;3,98848;2,06946;4,4934;-0,217234;172;
4,4934; 2,5004;1,18189;4,13617;1,75578;4,4934;-0,217234;234;
4,4934; 4,95488;2,56968;3,40965;2,92659;4,4934;-0,217234;155;
4,4934; 2,52102;3,02263;2,7893;3,52285;4,4934;-0,217234;225;
4,4934; 2,97437;1,20457;4,13302;1,76317;4,4934;-0,217234;217;
4,4934; 4,38695;1,43165;4,16831;1,67804;4,4934;-0,217234;171;
4,4934; 4,06826;2,5732;2,98217;3,36114;4,4934;-0,217234;238;
4,4934; 4,3549;2,55386;2,97485;3,36763;4,4934;-0,217234;235;
4,4934; 3,59102;3,9875;3,40106;2,93657;4,4934;-0,217234;243;
4,4934; 3,82893;2,11893;3,78948;2,41464;4,4934;-0,217234;152;
4,4934; 3,54472;3,39685;2,83782;3,48388;4,4934;-0,217234;244;
4,4934; 1,48741;1,49486;1,9071;4,06861;4,4934;-0,217234;238;
4,4934; 2,12837;3,99013;2,99614;3,3487;4,4934;-0,217234;234;
5; 1,73747;3,26021;2,25057;3,88917;4,49341;-0,217234;227;
5; 3,38721;4,10105;3,96317;2,11755;4,49341;-0,217234;159;
5; 1,12375;2,38184;1,32533;4,29351;4,49341;-0,217234;226;
5; 1,20709;4,82173;1,3469;4,28679;4,49341;-0,217234;142;
5; 1,37741;1,87798;1,83332;4,1024;4,49341;-0,217234;215;
5; 1,98736;2,24264;2,45622;3,76268;4,49341;-0,217234;159;
5; 3,12952;1,59439;4,03381;1,97967;4,49341;-0,217234;160;
5; 3,81099;4,30784;3,16564;3,18896;4,49341;-0,217234;170;
5; 1,11625;1,43395;1,55641;4,21525;4,49341;-0,217234;158;
5; 3,71635;1,11063;4,19897;1,59982;4,49341;-0,217234;150;
5; 4,39242;3,49682;2,6602;3,62134;4,49341;-0,217234;158;
5; 3,8243;1,33517;4,09677;1,84587;4,49341;-0,217234;152;
5; 1,48124;3,47494;1,78385;4,12415;4,49341;-0,217234;219;
5; 1,91508;1,73123;3,82438;2,35899;4,49341;-0,217234;165;
5; 4,74456;1,85825;3,65162;2,61847;4,49341;-0,217234;145;
5; 2,6446;3,59981;2,57515;3,6823;4,49341;-0,217234;229;
5; 2,9779;2,36969;3,46313;2,86312;4,49341;-0,217234;161;
