HJ-a;HJ-w;R-a;R-w;
3,14159;-4,30826e-07;3,14159;-4,31158e-07;
3,14159;-4,07478e-07;3,14159;-4,07792e-07;
3,14159;-3,82916e-07;3,14159;-3,83211e-07;
3,14159;-3,57578e-07;3,14159;-3,57852e-07;
3,14159;-3,31848e-07;3,14159;-3,32102e-07;
3,14159;-3,06063e-07;3,14159;-3,06297e-07;
3,14159;-2,80513e-07;3,14159;-2,80727e-07;
3,14159;-2,55445e-07;3,14159;-2,55639e-07;
3,14159;-2,31066e-07;3,14159;-2,31241e-07;
3,14159;-2,07547e-07;3,14159;-2,07704e-07;
3,14159;-1,85026e-07;3,14159;-1,85166e-07;
3,14159;-1,63611e-07;3,14159;-1,63734e-07;
3,14159;-1,43383e-07;3,14159;-1,4349e-07;
3,14159;-1,24397e-07;3,14159;-1,24489e-07;
3,14159;-1,0669e-07;3,14159;-1,06768e-07;
3,14159;-9,02763e-08;3,14159;-9,03417e-08;
3,14159;-7,51567e-08;3,14159;-7,52103e-08;
3,14159;-6,13167e-08;3,14159;-6,13594e-08;
3,14159;-4,87297e-08;3,14159;-4,87626e-08;
3,14159;-3,73594e-08;3,14159;-3,73833e-08;
3,14159;-2,7161e-08;3,14159;-2,71769e-08;
3,14159;-1,80832e-08;3,14159;-1,80921e-08;
3,14159;-1,00697e-08;3,14159;-1,00722e-08;
3,14159;-3,06007e-09;3,14159;-3,05713e-09;
3,14159;3,00845e-09;3,14159;3,01611e-09;
3,14159;8,20029e-09;3,14159;8,21198e-09;
3,14159;1,25805e-08;3,14159;1,25956e-08;
3,14159;1,6214e-08;3,14159;1,62318e-08;
3,14159;1,91648e-08;3,14159;1,91849e-08;
3,14159;2,14956e-08;3,14159;2,15174e-08;
3,14159;2,3267e-08;3,14159;2,329e-08;
3,14159;2,45374e-08;3,14159;2,45613e-08;
3,14159;2,53626e-08;3,14159;2,5387e-08;
3,14159;2,57954e-08;3,14159;2,582e-08;
3,14159;2,58857e-08;3,14159;2,59102e-08;
3,14159;2,56801e-08;3,14159;2,57042e-08;
3,14159;2,52219e-08;3,14159;2,52455e-08;
3,14159;2,45514e-08;3,14159;2,45743e-08;
3,14159;2,37053e-08;3,14159;2,37273e-08;
3,14159;2,27174e-08;3,14159;2,27384e-08;
3,14159;2,16182e-08;3,14159;2,16381e-08;
3,14159;2,04352e-08;3,14159;2,0454e-08;
3,14159;1,91929e-08;3,14159;1,92105e-08;
3,14159;1,79133e-08;3,14159;1,79297e-08;
3,14159;1,66155e-08;3,14159;1,66307e-08;
3,14159;1,53163e-08;3,14159;1,53302e-08;
3,14159;1,403e-08;3,14159;1,40428e-08;
3,14159;1,2769e-08;3,14159;1,27806e-08;
3,14159;1,15436e-08;3,14159;1,1554e-08;
3,14159;1,03622e-08;3,14159;1,03715e-08;
3,14159;9,23157e-09;3,14159;9,23983e-09;
3,14159;8,15712e-09;3,14159;8,16438e-09;
3,14159;7,14276e-09;3,14159;7,14909e-09;
3,14159;6,19126e-09;3,14159;6,19669e-09;
3,14159;5,30427e-09;3,14159;5,30888e-09;
3,14159;4,48255e-09;3,14159;4,48639e-09;
3,14159;3,726e-09;3,14159;3,72914e-09;
3,14159;3,03386e-09;3,14159;3,03636e-09;
3,14159;2,40474e-09;3,14159;2,40665e-09;
3,14159;1,83677e-09;3,14159;1,83815e-09;
3,14159;1,32766e-09;3,14159;1,32857e-09;
3,14159;8,74804e-10;3,14159;8,75296e-10;
3,14159;4,75335e-10;3,14159;4,75458e-10;
3,14159;1,26203e-10;3,14159;1,26006e-10;
3,14159;-1,75767e-10;3,14159;-1,76242e-10;
3,14159;-4,33829e-10;3,14159;-4,34539e-10;
3,14159;-6,51262e-10;3,14159;-6,52168e-10;
3,14159;-8,31335e-10;3,14159;-8,32401e-10;
3,14159;-9,77271e-10;3,14159;-9,78465e-10;
3,14159;-1,09222e-09;3,14159;-1,09351e-09;
3,14159;-1,17923e-09;3,14159;-1,18059e-09;
3,14159;-1,24123e-09;3,14159;-1,24265e-09;
3,14159;-1,28103e-09;3,14159;-1,28247e-09;
3,14159;-1,30127e-09;3,14159;-1,30272e-09;
3,14159;-1,30445e-09;3,14159;-1,30589e-09;
3,14159;-1,29291e-09;3,14159;-1,29433e-09;
3,14159;-1,26882e-09;3,14159;-1,27021e-09;
3,14159;-1,2342e-09;3,14159;-1,23554e-09;
3,14159;-1,19087e-09;3,14159;-1,19216e-09;
3,14159;-1,14054e-09;3,14159;-1,14177e-09;
3,14159;-1,08471e-09;3,14159;-1,08588e-09;
3,14159;-1,02478e-09;3,14159;-1,02588e-09;
3,14159;-9,61962e-10;3,14159;-9,62988e-10;
3,14159;-8,97347e-10;3,14159;-8,98301e-10;
3,14159;-8,31893e-10;3,14159;-8,32775e-10;
3,14159;-7,66433e-10;3,14159;-7,67244e-10;
3,14159;-7,01685e-10;3,14159;-7,02425e-10;
3,14159;-6,38259e-10;3,14159;-6,38929e-10;
3,14159;-5,76664e-10;3,14159;-5,77268e-10;
3,14159;-5,17321e-10;3,14159;-5,1786e-10;
3,14159;-4,60566e-10;3,14159;-4,61043e-10;
3,14159;-4,0666e-10;3,14159;-4,07079e-10;
3,14159;-3,55798e-10;3,14159;-3,56162e-10;
3,14159;-3,08113e-10;3,14159;-3,08425e-10;
3,14159;-2,63685e-10;3,14159;-2,6395e-10;
3,14159;-2,22548e-10;3,14159;-2,22768e-10;
3,14159;-1,84694e-10;3,14159;-1,84873e-10;
3,14159;-1,50081e-10;3,14159;-1,50224e-10;
3,14159;-1,18638e-10;3,14159;-1,18747e-10;
3,14159;-9,02686e-11;3,14159;-9,03469e-11;
3,14159;-6,48551e-11;3,14159;-6,49062e-11;
3,14159;-4,22651e-11;3,14159;-4,22921e-11;
3,14159;-2,23533e-11;3,14159;-2,23591e-11;
3,14159;-4,9652e-12;3,14159;-4,95264e-12;
3,14159;1,00596e-11;3,14159;1,0088e-11;
3,14159;2,28854e-11;3,14159;2,29271e-11;
3,14159;3,36773e-11;3,14159;3,37302e-11;
3,14159;4,26002e-11;3,14159;4,26622e-11;
3,14159;4,98161e-11;3,14159;4,98853e-11;
3,14159;5,54834e-11;3,14159;5,55582e-11;
3,14159;5,97554e-11;3,14159;5,98342e-11;
3,14159;6,27793e-11;3,14159;6,28607e-11;
3,14159;6,46956e-11;3,14159;6,47785e-11;
3,14159;6,56373e-11;3,14159;6,57205e-11;
3,14159;6,57295e-11;3,14159;6,58122e-11;
3,14159;6,50895e-11;3,14159;6,51708e-11;
3,14159;6,38259e-11;3,14159;6,39052e-11;
3,14159;6,20394e-11;3,14159;6,21161e-11;
3,14159;5,98221e-11;3,14159;5,98957e-11;
3,14159;5,72583e-11;3,14159;5,73285e-11;
3,14159;5,44241e-11;3,14159;5,44906e-11;
3,14159;5,13883e-11;3,14159;5,14509e-11;
3,14159;4,8212e-11;3,14159;4,82706e-11;
3,14159;4,49496e-11;3,14159;4,5004e-11;
3,14159;4,16487e-11;3,14159;4,1699e-11;
3,14159;3,83509e-11;3,14159;3,83971e-11;
3,14159;3,50918e-11;3,14159;3,51339e-11;
3,14159;3,19017e-11;3,14159;3,19398e-11;
3,14159;2,8806e-11;3,14159;2,88402e-11;
3,14159;2,58253e-11;3,14159;2,58559e-11;
3,14159;2,29764e-11;3,14159;2,30034e-11;
3,14159;2,0272e-11;3,14159;2,02958e-11;
3,14159;1,77218e-11;3,14159;1,77424e-11;
3,14159;1,53321e-11;3,14159;1,53499e-11;
3,14159;1,31068e-11;3,14159;1,31219e-11;
3,14159;1,10475e-11;3,14159;1,10601e-11;
3,14159;9,15357e-12;3,14159;9,16377e-12;
3,14159;7,42278e-12;3,14159;7,43081e-12;
3,14159;5,85139e-12;3,14159;5,85746e-12;
3,14159;4,43442e-12;3,14159;4,43877e-12;
3,14159;3,16593e-12;3,14159;3,16874e-12;
3,14159;2,03917e-12;3,14159;2,04058e-12;
3,14159;1,04674e-12;3,14159;1,04693e-12;
3,14159;1,80851e-13;3,14159;1,79979e-13;
3,14159;-5,66626e-13;3,14159;-5,68409e-13;
3,14159;-1,20395e-12;3,14159;-1,20652e-12;
3,14159;-1,73951e-12;3,14159;-1,7427e-12;
3,14159;-2,18158e-12;3,14159;-2,18526e-12;
3,14159;-2,5383e-12;3,14159;-2,54238e-12;
3,14159;-2,81763e-12;3,14159;-2,822e-12;
3,14159;-3,02732e-12;3,14159;-3,03187e-12;
3,14159;-3,17472e-12;3,14159;-3,17941e-12;
3,14159;-3,26691e-12;3,14159;-3,27163e-12;
3,14159;-3,31051e-12;3,14159;-3,31525e-12;
3,14159;-3,31184e-12;3,14159;-3,31654e-12;
3,14159;-3,27674e-12;3,14159;-3,28137e-12;
3,14159;-3,21068e-12;3,14159;-3,21518e-12;
3,14159;-3,11867e-12;3,14159;-3,12301e-12;
3,14159;-3,00531e-12;3,14159;-3,00945e-12;
3,14159;-2,87482e-12;3,14159;-2,87874e-12;
3,14159;-2,731e-12;3,14159;-2,73471e-12;
3,14159;-2,5773e-12;3,14159;-2,58079e-12;
3,14159;-2,41677e-12;3,14159;-2,41998e-12;
3,14159;-2,2521e-12;3,14159;-2,25507e-12;
3,14159;-2,08566e-12;3,14159;-2,0884e-12;
3,14159;-1,91956e-12;3,14159;-1,92204e-12;
3,14159;-1,75553e-12;3,14159;-1,75777e-12;
3,14159;-1,59507e-12;3,14159;-1,59709e-12;
3,14159;-1,43946e-12;3,14159;-1,44126e-12;
3,14159;-1,28973e-12;3,14159;-1,29131e-12;
3,14159;-1,14671e-12;3,14159;-1,14807e-12;
3,14159;-1,01103e-12;3,14159;-1,01215e-12;
3,14159;-8,83132e-13;3,14159;-8,84046e-13;
3,14159;-7,63371e-13;3,14159;-7,64073e-13;
3,14159;-6,51907e-13;3,14159;-6,52452e-13;
3,14159;-5,48819e-13;3,14159;-5,49244e-13;
3,14159;-4,54043e-13;3,14159;-4,54364e-13;
3,14159;-3,67469e-13;3,14159;-3,67693e-13;
3,14159;-2,88921e-13;3,14159;-2,89068e-13;
3,14159;-2,18117e-13;3,14159;-2,18198e-13;
3,14159;-1,54758e-13;3,14159;-1,54782e-13;
3,14159;-9,85213e-14;3,14159;-9,84954e-14;
3,14159;-4,904e-14;3,14159;-4,89711e-14;
3,14159;-5,91807e-15;3,14159;-5,81183e-15;
3,14159;3,12597e-14;3,14159;3,13984e-14;
3,14159;6,29229e-14;3,14159;6,30897e-14;
3,14159;8,94827e-14;3,14159;8,96739e-14;
3,14159;1,11389e-13;3,14159;1,11602e-13;
3,14159;1,28998e-13;3,14159;1,29229e-13;
3,14159;1,42762e-13;3,14159;1,43009e-13;
3,14159;1,53037e-13;3,14159;1,53298e-13;
3,14159;1,60228e-13;3,14159;1,60502e-13;
3,14159;1,64683e-13;3,14159;1,64967e-13;
3,14159;1,66685e-13;3,14159;1,66978e-13;
3,14159;1,666e-13;3,14159;1,66901e-13;
3,14159;1,64686e-13;3,14159;1,64995e-13;
3,14159;1,61255e-13;3,14159;1,61569e-13;
3,14159;1,56525e-13;3,14159;1,56844e-13;
3,14159;1,50725e-13;3,14159;1,51049e-13;
3,14159;1,44063e-13;3,14159;1,44391e-13;
3,14159;1,36762e-13;3,14159;1,37094e-13;
3,14159;1,28969e-13;3,14159;1,29304e-13;
3,14159;1,20834e-13;3,14159;1,21171e-13;
3,14159;1,12517e-13;3,14159;1,12856e-13;
3,14159;1,04141e-13;3,14159;1,04482e-13;
3,14159;9,58032e-14;3,14159;9,61461e-14;
3,14159;8,75552e-14;3,14159;8,78995e-14;
3,14159;7,9482e-14;3,14159;7,98275e-14;
3,14159;7,16404e-14;3,14159;7,19869e-14;
3,14159;6,41118e-14;3,14159;6,44591e-14;
3,14159;5,69412e-14;3,14159;5,72892e-14;
3,14159;5,01362e-14;3,14159;5,04848e-14;
3,14159;4,37183e-14;3,14159;4,40674e-14;
3,14159;3,76912e-14;3,14159;3,80407e-14;
3,14159;3,21053e-14;3,14159;3,24551e-14;
3,14159;2,69316e-14;3,14159;2,72817e-14;
3,14159;2,21616e-14;3,14159;2,25119e-14;
3,14159;1,78041e-14;3,14159;1,81383e-14;
3,14159;1,38664e-14;3,14159;1,41543e-14;
3,14159;1,03065e-14;3,14159;1,05546e-14;
3,14159;7,12061e-15;3,14159;7,33429e-15;
3,14159;4,28905e-15;3,14159;4,47314e-15;
3,14159;1,83493e-15;3,14159;1,97727e-15;
3,14159;-3,17906e-16;3,14159;-1,95269e-16;
3,14159;-2,17142e-15;3,14159;-2,06576e-15;
3,14159;-3,7585e-15;3,14159;-3,66747e-15;
3,14159;-5,0601e-15;3,14159;-4,99783e-15;
3,14159;-6,11582e-15;3,14159;-6,06217e-15;
3,14159;-6,97609e-15;3,14159;-6,92987e-15;
3,14159;-7,65937e-15;3,14159;-7,61955e-15;
3,14159;-8,15032e-15;3,14159;-8,11603e-15;
3,14159;-8,4757e-15;3,14159;-8,44617e-15;
3,14159;-8,65852e-15;3,14159;-8,63309e-15;
3,14159;-8,7186e-15;3,14159;-8,69672e-15;
3,14159;-8,67301e-15;3,14159;-8,65418e-15;
3,14159;-8,53644e-15;3,14159;-8,52024e-15;
3,14159;-8,32154e-15;3,14159;-8,30761e-15;
3,14159;-8,0392e-15;3,14159;-8,02722e-15;
3,14159;-7,69879e-15;3,14159;-7,6885e-15;
3,14159;-7,3084e-15;3,14159;-7,29956e-15;
3,14159;-6,87496e-15;3,14159;-6,86738e-15;
3,14159;-6,41321e-15;3,14159;-6,4067e-15;
3,14159;-5,96699e-15;3,14159;-5,96141e-15;
3,14159;-5,53415e-15;3,14159;-5,52937e-15;
3,14159;-5,11284e-15;3,14159;-5,10874e-15;
3,14159;-4,70144e-15;3,14159;-4,69794e-15;
3,14159;-4,29858e-15;3,14159;-4,29559e-15;
3,14159;-3,93549e-15;3,14159;-3,93293e-15;
3,14159;-3,57422e-15;3,14159;-3,57203e-15;
3,14159;-3,21452e-15;3,14159;-3,21266e-15;
3,14159;-2,85617e-15;3,14159;-2,85458e-15;
3,14159;-2,49899e-15;3,14159;-2,49764e-15;
3,14159;-2,14281e-15;3,14159;-2,14166e-15;
3,14159;-1,79622e-15;3,14159;-1,79525e-15;
3,14159;-1,49782e-15;3,14159;-1,497e-15;
3,14159;-1,24091e-15;3,14159;-1,24021e-15;
3,14159;-1,01972e-15;3,14159;-1,01913e-15;
3,14159;-8,29284e-16;3,14159;-8,28784e-16;
3,14159;-6,65325e-16;3,14159;-6,64901e-16;
3,14159;-5,24161e-16;3,14159;-5,23803e-16;
3,14159;-4,02625e-16;3,14159;-4,02321e-16;
3,14159;-2,97986e-16;3,14159;-2,97729e-16;
3,14159;-2,07896e-16;3,14159;-2,07678e-16;
3,14159;-1,30331e-16;3,14159;-1,30148e-16;
3,14159;-6,35513e-17;3,14159;-6,33957e-17;
3,14159;-6,05597e-18;3,14159;-5,92441e-18;
3,14159;4,34454e-17;3,14159;4,35567e-17;
3,14159;8,60643e-17;3,14159;8,61585e-17;
3,14159;1,22758e-16;3,14159;1,22837e-16;
3,14159;1,54349e-16;3,14159;1,54417e-16;
3,14159;1,81549e-16;3,14159;1,81606e-16;
3,14159;2,04966e-16;3,14159;2,05015e-16;
3,14159;2,25128e-16;3,14159;2,25169e-16;
3,14159;2,42486e-16;3,14159;2,42521e-16;
